M-D,M,D,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-11,10,11,0.0,0.0,0.0,0.005100002754000001,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.007600004103999999,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008282613168260869,0.0,0.0,0.001250000675,0.017800009611999998,2023-10-11
10-12,10,12,0.0,0.0,0.0,0.005100002754000001,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.00250000135,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009369570276956523,0.0,0.0,0.00250000135,0.015200008207999998,2023-10-12
10-13,10,13,0.0,0.0,0.005100002754000001,0.005100002754000001,0.010200005508000001,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.005100002754000001,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0011086962508695653,0.0,0.0,0.005100002754000001,0.010200005508000001,2023-10-13
10-14,10,14,0.0,0.0,0.0,0.005100002754000001,0.005100002754000001,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001106522336652174,0.0,0.0,0.005100002754000001,0.015200008207999998,2023-10-14
10-15,10,15,0.0,0.0,0.0,0.005100002754000001,0.005100002754000001,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008826091722608697,0.0,0.0,0.003800002052,0.015200008207999998,2023-10-15
10-16,10,16,0.0,0.0,0.00250000135,0.0,0.010200005508000001,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011021745082173914,0.0,0.0,0.00250000135,0.022900012366000002,2023-10-16
10-17,10,17,0.0,0.005100002754000001,0.00250000135,0.0,0.010200005508000001,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011043484224347827,0.0,0.0,0.003800002052,0.017800009611999998,2023-10-17
10-18,10,18,0.0,0.005100002754000001,0.00250000135,0.0,0.010200005508000001,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0012695659029565217,0.0,0.0,0.005100002754000001,0.012700006858,2023-10-18
10-19,10,19,0.0,0.0,0.00250000135,0.0,0.010200005508000001,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009934787973478261,0.0,0.0,0.00250000135,0.012700006858,2023-10-19
10-20,10,20,0.0,0.0,0.00250000135,0.00250000135,0.015200008207999998,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.010200005508000001,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012673919887391304,0.0,0.0,0.00250000135,0.015200008207999998,2023-10-20
